statistic,test,age_group,Mar-2014,Apr-2014,May-2014,Jun-2014,Jul-2014,Aug-2014,Sep-2014,Oct-2014,Nov-2014
count,ALT_above200,11-16y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
count,ALT_above200,17-30y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
count,ALT_above200,31-50y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
count,ALT_above200,51-70y,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
count,ALT_above200,>70y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
mean,ALT_above200,<3wks,,,,,,,,,
mean,ALT_above200,3wks-5y,,,,,,,,,
mean,ALT_above200,6-10y,,,,,,,,,
mean,ALT_above200,11-16y,,,,,,,,,
mean,ALT_above200,17-30y,,,,,,,,,
mean,ALT_above200,31-50y,,,,,,,,,
mean,ALT_above200,51-70y,,,,,329.0,,,,
mean,ALT_above200,>70y,,,,,,,,213.0,
var,ALT_above200,<3wks,,,,,,,,,
var,ALT_above200,3wks-5y,,,,,,,,,
var,ALT_above200,6-10y,,,,,,,,,
var,ALT_above200,11-16y,,,,,,,,,
var,ALT_above200,17-30y,,,,,,,,,
var,ALT_above200,31-50y,,,,,,,,,
var,ALT_above200,51-70y,,,,,,,,,
var,ALT_above200,>70y,,,,,,,,,
